Model-Pipeline,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score
LogReg + Pipeline A (Standard),0.8183209949038441,0.8162066940692895,0.8099276974416018,0.6589366515837104,0.7266716566866267
LogReg + Pipeline B (MinMax),0.8150913323406664,0.8133126415569164,0.8075683251576734,0.6518099547511312,0.721377151799687
DecisionTree + Pipeline A (Standard),0.9963089570706541,0.8593238822246456,0.8053885548875529,0.8183257918552036,0.8118056334867019
DecisionTree + Pipeline B (MinMax),0.9963089570706541,0.8592819394346112,0.8050951162531984,0.8186651583710407,0.811823433731561
